trial_id,source_file,row_index,group,approximated
seed_grid_metrics_0000,reports/grid_metrics.csv,0,grid_metrics.csv|BTC,True
seed_grid_metrics_0001,reports/grid_metrics.csv,1,grid_metrics.csv|BTC,True
seed_grid_metrics_0002,reports/grid_metrics.csv,2,grid_metrics.csv|BTC,True
seed_grid_metrics_0003,reports/grid_metrics.csv,3,grid_metrics.csv|BTC,True
seed_grid_metrics_0004,reports/grid_metrics.csv,4,grid_metrics.csv|BTC,True
seed_grid_metrics_0005,reports/grid_metrics.csv,5,grid_metrics.csv|BTC,True
seed_grid_metrics_0006,reports/grid_metrics.csv,6,grid_metrics.csv|BTC,True
seed_grid_metrics_0007,reports/grid_metrics.csv,7,grid_metrics.csv|BTC,True
seed_grid_metrics_0008,reports/grid_metrics.csv,8,grid_metrics.csv|BTC,True
seed_grid_metrics_0009,reports/grid_metrics.csv,9,grid_metrics.csv|BTC,True
seed_grid_metrics_0010,reports/grid_metrics.csv,10,grid_metrics.csv|Gold,True
seed_grid_metrics_0011,reports/grid_metrics.csv,11,grid_metrics.csv|Gold,True
seed_grid_metrics_0012,reports/grid_metrics.csv,12,grid_metrics.csv|Gold,True
seed_grid_metrics_0013,reports/grid_metrics.csv,13,grid_metrics.csv|Gold,True
seed_grid_metrics_0014,reports/grid_metrics.csv,14,grid_metrics.csv|Gold,True
seed_grid_metrics_0015,reports/grid_metrics.csv,15,grid_metrics.csv|Gold,True
seed_grid_metrics_0016,reports/grid_metrics.csv,16,grid_metrics.csv|Gold,True
seed_grid_metrics_0017,reports/grid_metrics.csv,17,grid_metrics.csv|Gold,True
seed_grid_metrics_0018,reports/grid_metrics.csv,18,grid_metrics.csv|Gold,True
seed_grid_metrics_0019,reports/grid_metrics.csv,19,grid_metrics.csv|Gold,True
seed_grid_metrics_0020,reports/grid_metrics.csv,20,grid_metrics.csv|Silver,True
seed_grid_metrics_0021,reports/grid_metrics.csv,21,grid_metrics.csv|Silver,True
seed_grid_metrics_0022,reports/grid_metrics.csv,22,grid_metrics.csv|Silver,True
seed_grid_metrics_0023,reports/grid_metrics.csv,23,grid_metrics.csv|Silver,True
seed_grid_metrics_0024,reports/grid_metrics.csv,24,grid_metrics.csv|Silver,True
seed_grid_metrics_0025,reports/grid_metrics.csv,25,grid_metrics.csv|Silver,True
seed_grid_metrics_0026,reports/grid_metrics.csv,26,grid_metrics.csv|Silver,True
seed_grid_metrics_0027,reports/grid_metrics.csv,27,grid_metrics.csv|Silver,True
seed_grid_metrics_0028,reports/grid_metrics.csv,28,grid_metrics.csv|Silver,True
seed_grid_metrics_0029,reports/grid_metrics.csv,29,grid_metrics.csv|Silver,True
seed_adca_grid_0000,reports/v2/adca_grid.csv,0,adca_grid.csv|BTC,True
seed_adca_grid_0001,reports/v2/adca_grid.csv,1,adca_grid.csv|BTC,True
seed_adca_grid_0002,reports/v2/adca_grid.csv,2,adca_grid.csv|GOLD,True
seed_adca_grid_0003,reports/v2/adca_grid.csv,3,adca_grid.csv|GOLD,True
seed_adca_grid_0004,reports/v2/adca_grid.csv,4,adca_grid.csv|SILVER,True
seed_adca_grid_0005,reports/v2/adca_grid.csv,5,adca_grid.csv|SILVER,True
seed_adca_grid_extra_0000,reports/v2/adca_grid_extra.csv,0,adca_grid_extra.csv|OIL,True
seed_adca_grid_extra_0001,reports/v2/adca_grid_extra.csv,1,adca_grid_extra.csv|OIL,True
seed_adca_grid_extra_0002,reports/v2/adca_grid_extra.csv,2,adca_grid_extra.csv|ENERGY,True
seed_adca_grid_extra_0003,reports/v2/adca_grid_extra.csv,3,adca_grid_extra.csv|ENERGY,True
seed_adca_grid_extra_0004,reports/v2/adca_grid_extra.csv,4,adca_grid_extra.csv|SP500,True
seed_adca_grid_extra_0005,reports/v2/adca_grid_extra.csv,5,adca_grid_extra.csv|SP500,True
seed_five_asset_rebalance_frequency_0000,reports/v2/five_asset_rebalance_frequency.csv,0,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0001,reports/v2/five_asset_rebalance_frequency.csv,1,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0002,reports/v2/five_asset_rebalance_frequency.csv,2,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0003,reports/v2/five_asset_rebalance_frequency.csv,3,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0004,reports/v2/five_asset_rebalance_frequency.csv,4,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0005,reports/v2/five_asset_rebalance_frequency.csv,5,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0006,reports/v2/five_asset_rebalance_frequency.csv,6,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0007,reports/v2/five_asset_rebalance_frequency.csv,7,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0008,reports/v2/five_asset_rebalance_frequency.csv,8,five_asset_rebalance_frequency.csv|C1,True
seed_five_asset_rebalance_frequency_0009,reports/v2/five_asset_rebalance_frequency.csv,9,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0010,reports/v2/five_asset_rebalance_frequency.csv,10,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0011,reports/v2/five_asset_rebalance_frequency.csv,11,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0012,reports/v2/five_asset_rebalance_frequency.csv,12,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0013,reports/v2/five_asset_rebalance_frequency.csv,13,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0014,reports/v2/five_asset_rebalance_frequency.csv,14,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0015,reports/v2/five_asset_rebalance_frequency.csv,15,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0016,reports/v2/five_asset_rebalance_frequency.csv,16,five_asset_rebalance_frequency.csv|C2,True
seed_five_asset_rebalance_frequency_0017,reports/v2/five_asset_rebalance_frequency.csv,17,five_asset_rebalance_frequency.csv|C2,True
seed_rebalance_grid_0000,reports/v2/rebalance_grid.csv,0,rebalance_grid.csv|C1,True
seed_rebalance_grid_0001,reports/v2/rebalance_grid.csv,1,rebalance_grid.csv|C2,True
seed_rebalance_grid_0002,reports/v2/rebalance_grid.csv,2,rebalance_grid.csv|C1,True
seed_rebalance_grid_0003,reports/v2/rebalance_grid.csv,3,rebalance_grid.csv|C2,True
seed_rebalance_grid_0004,reports/v2/rebalance_grid.csv,4,rebalance_grid.csv|C1,True
seed_rebalance_grid_0005,reports/v2/rebalance_grid.csv,5,rebalance_grid.csv|C2,True
seed_rebalance_grid_0006,reports/v2/rebalance_grid.csv,6,rebalance_grid.csv|C3,True
seed_rebalance_grid_0007,reports/v2/rebalance_grid.csv,7,rebalance_grid.csv|100% BTC DCA,True
seed_rebalance_grid_0008,reports/v2/rebalance_grid.csv,8,rebalance_grid.csv|100% GOLD DCA,True
seed_rebalance_grid_0009,reports/v2/rebalance_grid.csv,9,rebalance_grid.csv|100% SILVER DCA,True
seed_rebalance_grid_0010,reports/v2/rebalance_grid.csv,10,rebalance_grid.csv|C1,True
seed_rebalance_grid_0011,reports/v2/rebalance_grid.csv,11,rebalance_grid.csv|C2,True
seed_rebalance_grid_0012,reports/v2/rebalance_grid.csv,12,rebalance_grid.csv|C1,True
seed_rebalance_grid_0013,reports/v2/rebalance_grid.csv,13,rebalance_grid.csv|C2,True
seed_rebalance_grid_0014,reports/v2/rebalance_grid.csv,14,rebalance_grid.csv|C1,True
seed_rebalance_grid_0015,reports/v2/rebalance_grid.csv,15,rebalance_grid.csv|C2,True
seed_rebalance_grid_0016,reports/v2/rebalance_grid.csv,16,rebalance_grid.csv|C3,True
seed_rebalance_grid_0017,reports/v2/rebalance_grid.csv,17,rebalance_grid.csv|100% GOLD DCA,True
seed_rebalance_grid_0018,reports/v2/rebalance_grid.csv,18,rebalance_grid.csv|100% SILVER DCA,True
seed_regime_switch_headline_0000,reports/v2/regime_switch_headline.csv,0,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0001,reports/v2/regime_switch_headline.csv,1,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0002,reports/v2/regime_switch_headline.csv,2,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0003,reports/v2/regime_switch_headline.csv,3,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0004,reports/v2/regime_switch_headline.csv,4,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0005,reports/v2/regime_switch_headline.csv,5,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0006,reports/v2/regime_switch_headline.csv,6,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0007,reports/v2/regime_switch_headline.csv,7,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0008,reports/v2/regime_switch_headline.csv,8,regime_switch_headline.csv|GOLD,True
seed_regime_switch_headline_0009,reports/v2/regime_switch_headline.csv,9,regime_switch_headline.csv|SILVER,True
seed_regime_switch_headline_0010,reports/v2/regime_switch_headline.csv,10,regime_switch_headline.csv|SILVER,True
seed_regime_switch_headline_0011,reports/v2/regime_switch_headline.csv,11,regime_switch_headline.csv|SILVER,True
seed_regime_switch_headline_0012,reports/v2/regime_switch_headline.csv,12,regime_switch_headline.csv|SILVER,True
seed_regime_switch_headline_0013,reports/v2/regime_switch_headline.csv,13,regime_switch_headline.csv|SILVER,True
