observation_date,ISM_PMI_reconstructed
1948-01-01,52.0
1948-02-01,51.28852459016393
1948-03-01,50.622950819672134
1948-04-01,49.911475409836065
1948-05-01,49.22295081967213
1948-06-01,48.511475409836066
1948-07-01,47.82295081967213
1948-08-01,47.11147540983607
1948-09-01,46.4
1948-10-01,45.71147540983606
1948-11-01,45.0
1948-12-01,43.72641509433962
1949-01-01,42.410377358490564
1949-02-01,41.09433962264151
1949-03-01,39.905660377358494
1949-04-01,38.589622641509436
1949-05-01,37.31603773584906
1949-06-01,36.0
1949-07-01,36.98360655737705
1949-08-01,38.0
1949-09-01,39.01639344262295
1949-10-01,40.0
1949-11-01,43.6953642384106
1949-12-01,47.271523178807946
1950-01-01,50.966887417218544
1950-02-01,54.662251655629134
1950-03-01,58.0
1950-04-01,60.86413043478261
1950-05-01,63.63586956521739
1950-06-01,66.5
1950-07-01,69.27173913043478
1950-08-01,72.13586956521739
1950-09-01,75.0
1950-10-01,73.13186813186813
1950-11-01,71.2014652014652
1950-12-01,69.33333333333333
1951-01-01,67.40293040293041
1951-02-01,65.47252747252747
1951-03-01,63.72893772893773
1951-04-01,61.798534798534796
1951-05-01,59.930402930402934
1951-06-01,58.0
1951-07-01,57.50819672131148
1951-08-01,57.0
1951-09-01,56.49180327868852
1951-10-01,56.0
1951-11-01,55.49180327868852
1951-12-01,55.0
1952-01-01,54.49180327868852
1952-02-01,53.98360655737705
1952-03-01,53.50819672131148
1952-04-01,53.0
1952-05-01,52.50819672131148
1952-06-01,52.0
1952-07-01,52.8411214953271
1952-08-01,53.71028037383178
1952-09-01,54.57943925233645
1952-10-01,55.42056074766355
1952-11-01,56.28971962616822
1952-12-01,57.13084112149533
1953-01-01,58.0
1953-02-01,56.629834254143645
1953-03-01,55.392265193370164
1953-04-01,54.02209944751381
1953-05-01,52.69613259668508
1953-06-01,51.32596685082873
1953-07-01,50.0
1953-08-01,48.776315789473685
1953-09-01,47.55263157894737
1953-10-01,46.368421052631575
1953-11-01,45.14473684210526
1953-12-01,43.96052631578947
1954-01-01,42.73684210526316
1954-02-01,41.51315789473684
1954-03-01,40.4078947368421
1954-04-01,39.18421052631579
1954-05-01,38.0
1954-06-01,39.878787878787875
1954-07-01,41.696969696969695
1954-08-01,43.57575757575758
1954-09-01,45.45454545454545
1954-10-01,47.27272727272727
1954-11-01,49.151515151515156
1954-12-01,50.96969696969697
1955-01-01,52.848484848484844
1955-02-01,54.72727272727273
1955-03-01,56.42424242424242
1955-04-01,58.303030303030305
1955-05-01,60.121212121212125
1955-06-01,62.0
1955-07-01,61.42622950819672
1955-08-01,60.833333333333336
1955-09-01,60.240437158469945
1955-10-01,59.666666666666664
1955-11-01,59.07377049180328
1955-12-01,58.5
1956-01-01,57.90710382513661
1956-02-01,57.314207650273225
1956-03-01,56.759562841530055
1956-04-01,56.166666666666664
1956-05-01,55.59289617486339
1956-06-01,55.0
1956-07-01,54.50704225352113
1956-08-01,53.997652582159624
1956-09-01,53.48826291079812
1956-10-01,52.99530516431925
1956-11-01,52.485915492957744
1956-12-01,51.99295774647887
1957-01-01,51.48356807511737
1957-02-01,50.97417840375587
1957-03-01,50.514084507042256
1957-04-01,50.00469483568075
1957-05-01,49.51173708920188
1957-06-01,49.002347417840376
1957-07-01,48.509389671361504
1957-08-01,48.0
1957-09-01,46.851851851851855
1957-10-01,45.74074074074074
1957-11-01,44.592592592592595
1957-12-01,43.48148148148148
1958-01-01,42.333333333333336
1958-02-01,41.18518518518518
1958-03-01,40.14814814814815
1958-04-01,39.0
1958-05-01,41.622950819672134
1958-06-01,44.333333333333336
1958-07-01,46.95628415300546
1958-08-01,49.66666666666667
1958-09-01,52.37704918032787
1958-10-01,55.0
1958-11-01,55.63786008230453
1958-12-01,56.25514403292181
1959-01-01,56.89300411522634
1959-02-01,57.53086419753087
1959-03-01,58.10699588477366
1959-04-01,58.74485596707819
1959-05-01,59.36213991769547
1959-06-01,60.0
1959-07-01,58.81967213114754
1959-08-01,57.6
1959-09-01,56.38032786885246
1959-10-01,55.2
1959-11-01,53.980327868852456
1959-12-01,52.8
1960-01-01,51.580327868852464
1960-02-01,50.36065573770492
1960-03-01,49.21967213114754
1960-04-01,48.0
1960-05-01,47.411764705882355
1960-06-01,46.80392156862745
1960-07-01,46.21568627450981
1960-08-01,45.6078431372549
1960-09-01,45.0
1960-10-01,44.411764705882355
1960-11-01,43.80392156862745
1960-12-01,43.21568627450981
1961-01-01,42.6078431372549
1961-02-01,42.0
1961-03-01,42.80824742268041
1961-04-01,43.703092783505156
1961-05-01,44.56907216494845
1961-06-01,45.4639175257732
1961-07-01,46.329896907216494
1961-08-01,47.22474226804124
1961-09-01,48.11958762886598
1961-10-01,48.98556701030928
1961-11-01,49.88041237113402
1961-12-01,50.74639175257732
1962-01-01,51.64123711340206
1962-02-01,52.5360824742268
1962-03-01,53.34432989690722
1962-04-01,54.23917525773196
1962-05-01,55.105154639175254
1962-06-01,56.0
1962-07-01,56.16423357664234
1962-08-01,56.333941605839414
1962-09-01,56.503649635036496
1962-10-01,56.667883211678834
1962-11-01,56.83759124087591
1962-12-01,57.00182481751825
1963-01-01,57.17153284671533
1963-02-01,57.34124087591241
1963-03-01,57.49452554744526
1963-04-01,57.66423357664234
1963-05-01,57.82846715328467
1963-06-01,57.99817518248175
1963-07-01,58.16240875912409
1963-08-01,58.332116788321166
1963-09-01,58.50182481751825
1963-10-01,58.666058394160586
1963-11-01,58.83576642335766
1963-12-01,59.0
1964-01-01,59.16970802919708
1964-02-01,59.339416058394164
1964-03-01,59.49817518248175
1964-04-01,59.667883211678834
1964-05-01,59.832116788321166
1964-06-01,60.00182481751825
1964-07-01,60.166058394160586
1964-08-01,60.33576642335766
1964-09-01,60.50547445255474
1964-10-01,60.66970802919708
1964-11-01,60.839416058394164
1964-12-01,61.003649635036496
1965-01-01,61.17335766423358
1965-02-01,61.34306569343066
1965-03-01,61.496350364963504
1965-04-01,61.666058394160586
1965-05-01,61.83029197080292
1965-06-01,62.0
1965-07-01,61.67123287671233
1965-08-01,61.33150684931507
1965-09-01,60.99178082191781
1965-10-01,60.66301369863014
1965-11-01,60.323287671232876
1965-12-01,59.99452054794521
1966-01-01,59.654794520547945
1966-02-01,59.31506849315068
1966-03-01,59.00821917808219
1966-04-01,58.66849315068493
1966-05-01,58.33972602739726
1966-06-01,58.0
1966-07-01,57.91792065663475
1966-08-01,57.83310533515732
1966-09-01,57.74829001367989
1966-10-01,57.66621067031464
1966-11-01,57.58139534883721
1966-12-01,57.499316005471954
1967-01-01,57.414500683994525
1967-02-01,57.3296853625171
1967-03-01,57.2530779753762
1967-04-01,57.16826265389877
1967-05-01,57.086183310533514
1967-06-01,57.001367989056085
1967-07-01,56.919288645690834
1967-08-01,56.834473324213405
1967-09-01,56.74965800273598
1967-10-01,56.667578659370726
1967-11-01,56.5827633378933
1967-12-01,56.500683994528046
1968-01-01,56.41586867305062
1968-02-01,56.33105335157319
1968-03-01,56.25170998632011
1968-04-01,56.16689466484268
1968-05-01,56.08481532147743
1968-06-01,56.0
1968-07-01,55.67153284671533
1968-08-01,55.332116788321166
1968-09-01,54.99270072992701
1968-10-01,54.66423357664234
1968-11-01,54.324817518248175
1968-12-01,53.996350364963504
1969-01-01,53.65693430656934
1969-02-01,53.31751824817518
1969-03-01,53.01094890510949
1969-04-01,52.67153284671533
1969-05-01,52.34306569343066
1969-06-01,52.003649635036496
1969-07-01,51.675182481751825
1969-08-01,51.33576642335766
1969-09-01,50.996350364963504
1969-10-01,50.667883211678834
